names,ratings,locations,latitude,longitude
La Taqueria Food Truck,5.0,,49.25849,-123.104799
Mount Pleasant Park,5.0,3161 Ontario Street,49.25849,-123.104799
Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.25849,-123.104799
Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.25849,-123.104799
Ramen Kounotori,4.5,3950 Main Street,49.25849,-123.104799
L'atelier Patisserie,4.5,599 East Broadway,49.25849,-123.104799
Lumiere Cafe,4.5,521 West Broadway,49.25849,-123.104799
Rolling Cashew,4.5,401 Industrial Avenue,49.25849,-123.104799
Hot Cha Cafe,4.5,3306 Cambie Street,49.25849,-123.104799
Cilantro Indian Cuisine,4.5,189 W Broadway,49.25849,-123.104799
Superbaba,4.5,2419 Main St,49.25849,-123.104799
The Mighty Oak,4.5,198 W 18th Avenue,49.25849,-123.104799
Suyo Modern Peruvian,4.5,3475 Main Street,49.25849,-123.104799
Paper Cone Desserts,4.5,3623 Main Street,49.25849,-123.104799
Farm Ventures,5.0,713 Sullivan Road,49.25849,-123.104799
The Real Patty Co,5.0,,49.25849,-123.104799
The Watson,5.0,3080 Main Street,49.25849,-123.104799
City of Vancouver,4.5,453 West 12th Avenue,49.25849,-123.104799
La Taqueria Food Truck,5.0,,49.258425,-123.100792
Camion Cafe,5.0,,49.258425,-123.100792
Mount Pleasant Park,5.0,3161 Ontario Street,49.258425,-123.100792
Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.258425,-123.100792
Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.258425,-123.100792
Ramen Kounotori,4.5,3950 Main Street,49.258425,-123.100792
L'atelier Patisserie,4.5,599 East Broadway,49.258425,-123.100792
Cilantro Indian Cuisine,4.5,189 W Broadway,49.258425,-123.100792
Superbaba,4.5,2419 Main St,49.258425,-123.100792
The Mighty Oak,4.5,198 W 18th Avenue,49.258425,-123.100792
Suyo Modern Peruvian,4.5,3475 Main Street,49.258425,-123.100792
Paper Cone Desserts,4.5,3623 Main Street,49.258425,-123.100792
The Watson,5.0,3080 Main Street,49.258425,-123.100792
City of Vancouver,4.5,453 West 12th Avenue,49.258425,-123.100792
On the Grind - Pedalling Epic Coffee,5.0,,49.258425,-123.100792
Dog Meister,5.0,2949 Main Street,49.258425,-123.100792
Taco Nori Sushi Tacos,4.5,,49.258425,-123.100792
Zarak By Afghan Kitchen,4.5,2102 Main Street,49.258425,-123.100792
Jonathan Rogers Park,4.5,110 7 Avenue W,49.258425,-123.100792
Sushi Hil,4.5,3330 Main Street,49.258425,-123.100792
Grab N Go,5.0,1207 Hamilton Street,49.270905,-123.126006
Sushi Master,5.0,1509 W Broadway,49.270905,-123.126006
Parker Rooftop,5.0,1379 Howe Street,49.270905,-123.126006
Okeya Kyujiro,5.0,1038 Mainland Street,49.270905,-123.126006
Sake Dining Hashigo,5.0,1265 Granville St,49.270905,-123.126006
WA-2!,5.0,1795 Powell Street,49.270905,-123.126006
inBtwn Cafe,5.0,1625 Hornby Street,49.270905,-123.126006
Manoush'eh,5.0,620 Davie Street,49.270905,-123.126006
Number E Food,5.0,1308 Burrard Street,49.270905,-123.126006
Rainbow Park,5.0,872 Richards Street,49.270905,-123.126006
George Wainborn Park,5.0,450 Beach Crescent,49.270905,-123.126006
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.270905,-123.126006
Tru Cafe,5.0,1500 West 2nd Avenue,49.270905,-123.126006
7 Days Coffee,5.0,920 Beatty Street,49.270905,-123.126006
Smithe Salad,4.5,191 Smithe Street,49.270905,-123.126006
Uno Gelato,4.5,601 Stamps Landing,49.270905,-123.126006
Passione Gelato,4.5,55 Smithe Street,49.270905,-123.126006
Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.270905,-123.126006
Le Parfait,4.5,812 Homer Street,49.270905,-123.126006
Long Table Distillery,4.5,1451 Hornby Street,49.270905,-123.126006
Grab N Go,5.0,1207 Hamilton Street,49.273568,-123.129935
That’s It Cafe,5.0,1612 West 1st Avenue,49.273568,-123.129935
Parker Rooftop,5.0,1379 Howe Street,49.273568,-123.129935
Okeya Kyujiro,5.0,1038 Mainland Street,49.273568,-123.129935
Sake Dining Hashigo,5.0,1265 Granville St,49.273568,-123.129935
Cardero Cafe,5.0,1105 Davie St,49.273568,-123.129935
inBtwn Cafe,5.0,1625 Hornby Street,49.273568,-123.129935
Manoush'eh,5.0,620 Davie Street,49.273568,-123.129935
Number E Food,5.0,1308 Burrard Street,49.273568,-123.129935
Rainbow Park,5.0,872 Richards Street,49.273568,-123.129935
George Wainborn Park,5.0,450 Beach Crescent,49.273568,-123.129935
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.273568,-123.129935
Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.273568,-123.129935
Keto Caveman Davie,5.0,1230 Davie Street,49.273568,-123.129935
Tru Cafe,5.0,1500 West 2nd Avenue,49.273568,-123.129935
Smithe Salad,4.5,191 Smithe Street,49.273568,-123.129935
Incognito Coffee,4.5,843 Seymour Street,49.273568,-123.129935
Uno Gelato,4.5,601 Stamps Landing,49.273568,-123.129935
Starbucks,4.5,1088 Burrard Street,49.273568,-123.129935
Le Parfait,4.5,812 Homer Street,49.273568,-123.129935
Grab N Go,5.0,1207 Hamilton Street,49.277141,-123.122589
Parker Rooftop,5.0,1379 Howe Street,49.277141,-123.122589
Okeya Kyujiro,5.0,1038 Mainland Street,49.277141,-123.122589
Sake Dining Hashigo,5.0,1265 Granville St,49.277141,-123.122589
Cardero Cafe,5.0,1105 Davie St,49.277141,-123.122589
inBtwn Cafe,5.0,1625 Hornby Street,49.277141,-123.122589
Manoush'eh,5.0,620 Davie Street,49.277141,-123.122589
The Magnet,5.0,309 W Pender Street,49.277141,-123.122589
Number E Food,5.0,1308 Burrard Street,49.277141,-123.122589
Social Crust,5.0,335 W Pender St,49.277141,-123.122589
Rainbow Park,5.0,872 Richards Street,49.277141,-123.122589
George Wainborn Park,5.0,450 Beach Crescent,49.277141,-123.122589
Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.277141,-123.122589
Keto Caveman Davie,5.0,1230 Davie Street,49.277141,-123.122589
7 Days Coffee,5.0,920 Beatty Street,49.277141,-123.122589
Smithe Salad,4.5,191 Smithe Street,49.277141,-123.122589
Incognito Coffee,4.5,843 Seymour Street,49.277141,-123.122589
Uno Gelato,4.5,601 Stamps Landing,49.277141,-123.122589
Passione Gelato,4.5,55 Smithe Street,49.277141,-123.122589
Starbucks,4.5,1088 Burrard Street,49.277141,-123.122589
Sushi Master,5.0,1509 W Broadway,49.267859,-123.145782
Sushi Flamingo,5.0,1-1855 Burrad Street,49.267859,-123.145782
That’s It Cafe,5.0,1612 West 1st Avenue,49.267859,-123.145782
Obanhmi,5.0,102-1668 W Broadway,49.267859,-123.145782
Livni Café & Bakery,5.0,2213 W Broadway,49.267859,-123.145782
NUTTEA,5.0,1958 W4th Ave,49.267859,-123.145782
My Forno Pizza,5.0,1630 West Broadway,49.267859,-123.145782
inBtwn Cafe,5.0,1625 Hornby Street,49.267859,-123.145782
Gateau de Henry,5.0,2255 Burrard street,49.267859,-123.145782
Mazahr Lebanese Kitchen,5.0,1488 West 11th Avenue,49.267859,-123.145782
Tru Cafe,5.0,1500 West 2nd Avenue,49.267859,-123.145782
Long Table Distillery,4.5,1451 Hornby Street,49.267859,-123.145782
Casereccio Foods,4.5,2480 Vine Street,49.267859,-123.145782
VR Funtastic World,4.5,1496 Cartwright Street,49.267859,-123.145782
Super Smash Burgers,4.5,2287 W Broadway,49.267859,-123.145782
Beach Ave Bar And Grill,4.5,1 -1012 Beach Avenue,49.267859,-123.145782
Billy Bishop Branch 176 Royal Canadian Legion,4.5,1407 Laburnum Street,49.267859,-123.145782
COFU Pressed Sushi,4.5,103 -1833 Anderson Street,49.267859,-123.145782
La Bise Bakery,4.5,1689 Johnston Street,49.267859,-123.145782
C&T Fried Chicken,4.5,2445 Burrard Street,49.267859,-123.145782
Sushi Master,5.0,1509 W Broadway,49.265336,-123.145823
Sushi Flamingo,5.0,1-1855 Burrad Street,49.265336,-123.145823
That’s It Cafe,5.0,1612 West 1st Avenue,49.265336,-123.145823
Obanhmi,5.0,102-1668 W Broadway,49.265336,-123.145823
Livni Café & Bakery,5.0,2213 W Broadway,49.265336,-123.145823
NUTTEA,5.0,1958 W4th Ave,49.265336,-123.145823
My Forno Pizza,5.0,1630 West Broadway,49.265336,-123.145823
Gateau de Henry,5.0,2255 Burrard street,49.265336,-123.145823
Mazahr Lebanese Kitchen,5.0,1488 West 11th Avenue,49.265336,-123.145823
Tru Cafe,5.0,1500 West 2nd Avenue,49.265336,-123.145823
Impostori Trattoria + Negroni Bar,4.5,3121 Granville Street,49.265336,-123.145823
Casereccio Foods,4.5,2480 Vine Street,49.265336,-123.145823
VR Funtastic World,4.5,1496 Cartwright Street,49.265336,-123.145823
Super Smash Burgers,4.5,2287 W Broadway,49.265336,-123.145823
Billy Bishop Branch 176 Royal Canadian Legion,4.5,1407 Laburnum Street,49.265336,-123.145823
COFU Pressed Sushi,4.5,103 -1833 Anderson Street,49.265336,-123.145823
La Bise Bakery,4.5,1689 Johnston Street,49.265336,-123.145823
C&T Fried Chicken,4.5,2445 Burrard Street,49.265336,-123.145823
Le Coq Frit,4.5,1888 W Broadway,49.265336,-123.145823
O5 Tea,4.5,2208 W 4th Avenue,49.265336,-123.145823
Grab N Go,5.0,1207 Hamilton Street,49.267628,-123.127698
Sushi Master,5.0,1509 W Broadway,49.267628,-123.127698
That’s It Cafe,5.0,1612 West 1st Avenue,49.267628,-123.127698
Parker Rooftop,5.0,1379 Howe Street,49.267628,-123.127698
Okeya Kyujiro,5.0,1038 Mainland Street,49.267628,-123.127698
Sake Dining Hashigo,5.0,1265 Granville St,49.267628,-123.127698
The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.267628,-123.127698
WA-2!,5.0,1795 Powell Street,49.267628,-123.127698
inBtwn Cafe,5.0,1625 Hornby Street,49.267628,-123.127698
Manoush'eh,5.0,620 Davie Street,49.267628,-123.127698
Mazahr Lebanese Kitchen,5.0,1488 West 11th Avenue,49.267628,-123.127698
George Wainborn Park,5.0,450 Beach Crescent,49.267628,-123.127698
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.267628,-123.127698
Tru Cafe,5.0,1500 West 2nd Avenue,49.267628,-123.127698
7 Days Coffee,5.0,920 Beatty Street,49.267628,-123.127698
Uno Gelato,4.5,601 Stamps Landing,49.267628,-123.127698
Long Table Distillery,4.5,1451 Hornby Street,49.267628,-123.127698
Sweet Spot,4.5,1178 Marinaside Crescent,49.267628,-123.127698
Lumiere Cafe,4.5,521 West Broadway,49.267628,-123.127698
Obanhmi,4.5,1239 Pacific Boulevard,49.267628,-123.127698
Sushi Flamingo,5.0,1-1855 Burrad Street,49.275938,-123.145939
That’s It Cafe,5.0,1612 West 1st Avenue,49.275938,-123.145939
NUTTEA,5.0,1958 W4th Ave,49.275938,-123.145939
inBtwn Cafe,5.0,1625 Hornby Street,49.275938,-123.145939
Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.275938,-123.145939
Keto Caveman Davie,5.0,1230 Davie Street,49.275938,-123.145939
Tru Cafe,5.0,1500 West 2nd Avenue,49.275938,-123.145939
Tom Sushi,4.5,1175 Davie St,49.275938,-123.145939
Long Table Distillery,4.5,1451 Hornby Street,49.275938,-123.145939
Davie Village Bakery,4.5,1216 Davie Street,49.275938,-123.145939
VR Funtastic World,4.5,1496 Cartwright Street,49.275938,-123.145939
Beach Ave Bar And Grill,4.5,1 -1012 Beach Avenue,49.275938,-123.145939
Billy Bishop Branch 176 Royal Canadian Legion,4.5,1407 Laburnum Street,49.275938,-123.145939
COFU Pressed Sushi,4.5,103 -1833 Anderson Street,49.275938,-123.145939
La Bise Bakery,4.5,1689 Johnston Street,49.275938,-123.145939
O5 Tea,4.5,2208 W 4th Avenue,49.275938,-123.145939
AnnaLena,4.5,1809 W 1st Avenue,49.275938,-123.145939
Granville Island Water Park,5.0,1348 Cartwright Street,49.275938,-123.145939
Lumine Coffee,4.5,103- 1965 W 4th Avenue,49.275938,-123.145939
Preservatory Toast Bar,5.0,1689 Johnston Street,49.275938,-123.145939
Johnny's Pops,5.0,,49.2756,-123.102661
The Magnet,5.0,309 W Pender Street,49.2756,-123.102661
Sooda Korean BBQ,5.0,60 West Cordova Street,49.2756,-123.102661
Robba Da Matti,5.0,12 Powell St,49.2756,-123.102661
Cookies of Course,5.0,,49.2756,-123.102661
Social Crust,5.0,335 W Pender St,49.2756,-123.102661
West Hotel & Bar,5.0,488 Carrall St,49.2756,-123.102661
Say Hello Sweets,5.0,620 Quebec Street,49.2756,-123.102661
7 Days Coffee,5.0,920 Beatty Street,49.2756,-123.102661
Smithe Salad,4.5,191 Smithe Street,49.2756,-123.102661
Passione Gelato,4.5,55 Smithe Street,49.2756,-123.102661
Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.2756,-123.102661
Tekkaba,4.5,68 E Cordova Street,49.2756,-123.102661
Hoduya,4.5,86 Keefer Place,49.2756,-123.102661
Le Petit Belge,4.5,1007 Main Street,49.2756,-123.102661
Aiyaohno Cafe,4.5,425 Carrall Street,49.2756,-123.102661
The Chinese Tea Shop,4.5,101 E Pender Street,49.2756,-123.102661
Honolulu Coffee,4.5,97 West 2nd Avenue,49.2756,-123.102661
Rolling Cashew,4.5,401 Industrial Avenue,49.2756,-123.102661
Little Bangkok Thai Kitchen 2,4.5,88 W Pender Street,49.2756,-123.102661
Johnny's Pops,5.0,,49.284157,-123.099917
The Magnet,5.0,309 W Pender Street,49.284157,-123.099917
Sooda Korean BBQ,5.0,60 West Cordova Street,49.284157,-123.099917
Robba Da Matti,5.0,12 Powell St,49.284157,-123.099917
Social Crust,5.0,335 W Pender St,49.284157,-123.099917
West Hotel & Bar,5.0,488 Carrall St,49.284157,-123.099917
Say Hello Sweets,5.0,620 Quebec Street,49.284157,-123.099917
Tekkaba,4.5,68 E Cordova Street,49.284157,-123.099917
Hoduya,4.5,86 Keefer Place,49.284157,-123.099917
Le Petit Belge,4.5,1007 Main Street,49.284157,-123.099917
Aiyaohno Cafe,4.5,425 Carrall Street,49.284157,-123.099917
The Chinese Tea Shop,4.5,101 E Pender Street,49.284157,-123.099917
Little Bangkok Thai Kitchen 2,4.5,88 W Pender Street,49.284157,-123.099917
Gastronomy Gastown,4.5,62 East Cordova Street,49.284157,-123.099917
Manpuku Bento,4.5,288 E Pender Street,49.284157,-123.099917
Is That French,4.5,45 Blood Alley Square,49.284157,-123.099917
Vegan Cave Cafe,4.5,415 Abbott Street,49.284157,-123.099917
Barbara,4.5,305 East Pender Street,49.284157,-123.099917
Kouign Café,4.5,18 East Pender Street,49.284157,-123.099917
East Van Roasters,4.5,319 Carrall Street,49.284157,-123.099917
Sushi Master,5.0,1509 W Broadway,49.258924,-123.152591
Obanhmi,5.0,102-1668 W Broadway,49.258924,-123.152591
Livni Café & Bakery,5.0,2213 W Broadway,49.258924,-123.152591
NUTTEA,5.0,1958 W4th Ave,49.258924,-123.152591
My Forno Pizza,5.0,1630 West Broadway,49.258924,-123.152591
Gateau de Henry,5.0,2255 Burrard street,49.258924,-123.152591
Folke Restaurant,4.5,2585 W Broadway,49.258924,-123.152591
Impostori Trattoria + Negroni Bar,4.5,3121 Granville Street,49.258924,-123.152591
Casereccio Foods,4.5,2480 Vine Street,49.258924,-123.152591
Super Smash Burgers,4.5,2287 W Broadway,49.258924,-123.152591
Uno Gelato,4.5,2579 W Broadway,49.258924,-123.152591
C&T Fried Chicken,4.5,2445 Burrard Street,49.258924,-123.152591
Le Coq Frit,4.5,1888 W Broadway,49.258924,-123.152591
Bar One,4.5,1759 West Broadway,49.258924,-123.152591
Evelyn's Coffee Shop,4.5,2176 W Broadway,49.258924,-123.152591
Unchai Thai Restaurant,4.5,2351 Burrard Street,49.258924,-123.152591
Yagoto Sushi Dining,4.5,2180 W Broadway,49.258924,-123.152591
Kathy's Sandwich House,4.5,1505 W Broadway,49.258924,-123.152591
Sweet Barrel Creamery and Coffee Roasters,4.5,2729 Arbutus Street,49.258924,-123.152591
Grapes & Soda,4.5,1541 W 6th Avenue,49.258924,-123.152591
Sushi Master,5.0,1509 W Broadway,49.266774,-123.141135
Sushi Flamingo,5.0,1-1855 Burrad Street,49.266774,-123.141135
That’s It Cafe,5.0,1612 West 1st Avenue,49.266774,-123.141135
Obanhmi,5.0,102-1668 W Broadway,49.266774,-123.141135
NUTTEA,5.0,1958 W4th Ave,49.266774,-123.141135
My Forno Pizza,5.0,1630 West Broadway,49.266774,-123.141135
inBtwn Cafe,5.0,1625 Hornby Street,49.266774,-123.141135
Gateau de Henry,5.0,2255 Burrard street,49.266774,-123.141135
Mazahr Lebanese Kitchen,5.0,1488 West 11th Avenue,49.266774,-123.141135
George Wainborn Park,5.0,450 Beach Crescent,49.266774,-123.141135
Tru Cafe,5.0,1500 West 2nd Avenue,49.266774,-123.141135
Saucin Staples,4.5,1073 W Broadway,49.266774,-123.141135
VR Funtastic World,4.5,1496 Cartwright Street,49.266774,-123.141135
Beach Ave Bar And Grill,4.5,1 -1012 Beach Avenue,49.266774,-123.141135
Billy Bishop Branch 176 Royal Canadian Legion,4.5,1407 Laburnum Street,49.266774,-123.141135
COFU Pressed Sushi,4.5,103 -1833 Anderson Street,49.266774,-123.141135
La Bise Bakery,4.5,1689 Johnston Street,49.266774,-123.141135
C&T Fried Chicken,4.5,2445 Burrard Street,49.266774,-123.141135
Le Coq Frit,4.5,1888 W Broadway,49.266774,-123.141135
AnnaLena,4.5,1809 W 1st Avenue,49.266774,-123.141135
Sushi Flamingo,5.0,1-1855 Burrad Street,49.273355,-123.154493
That’s It Cafe,5.0,1612 West 1st Avenue,49.273355,-123.154493
NUTTEA,5.0,1958 W4th Ave,49.273355,-123.154493
Puerto Mexico,5.0,2710 West 4th Avenue,49.273355,-123.154493
BikeHike Adventures,5.0,303 2525 West 4th Avenue,49.273355,-123.154493
Gateau de Henry,5.0,2255 Burrard street,49.273355,-123.154493
The Only Cafe,4.5,2678 W 4th Avenue,49.273355,-123.154493
Billy Bishop Branch 176 Royal Canadian Legion,4.5,1407 Laburnum Street,49.273355,-123.154493
Cafe Lokal,4.5,2610 W 4 Avenue,49.273355,-123.154493
O5 Tea,4.5,2208 W 4th Avenue,49.273355,-123.154493
AnnaLena,4.5,1809 W 1st Avenue,49.273355,-123.154493
Healthy Noodle House,4.5,2716 W 4th Avenue,49.273355,-123.154493
Lumine Coffee,4.5,103- 1965 W 4th Avenue,49.273355,-123.154493
KITS Eyecare,5.0,1500 Yew Street,49.273355,-123.154493
The Cider House,4.5,1602 Yew Street,49.273355,-123.154493
CM Chicken,4.5,1629 Yew Street,49.273355,-123.154493
Unchai Thai Restaurant,4.5,2351 Burrard Street,49.273355,-123.154493
Kits Beach Coffee,4.5,1945 Cornwall Avenue,49.273355,-123.154493
Don at Kitsilano,4.5,2186 West 4th Avenue,49.273355,-123.154493
Delhi 6 Indian Bistro,4.5,1766 W 7th Avenue,49.273355,-123.154493
Sushi Flamingo,5.0,1-1855 Burrad Street,49.276144,-123.151272
That’s It Cafe,5.0,1612 West 1st Avenue,49.276144,-123.151272
NUTTEA,5.0,1958 W4th Ave,49.276144,-123.151272
BikeHike Adventures,5.0,303 2525 West 4th Avenue,49.276144,-123.151272
Tru Cafe,5.0,1500 West 2nd Avenue,49.276144,-123.151272
English Bay Beach Park,4.5,1700 Beach Avenue,49.276144,-123.151272
Billy Bishop Branch 176 Royal Canadian Legion,4.5,1407 Laburnum Street,49.276144,-123.151272
COFU Pressed Sushi,4.5,103 -1833 Anderson Street,49.276144,-123.151272
Cafe Lokal,4.5,2610 W 4 Avenue,49.276144,-123.151272
O5 Tea,4.5,2208 W 4th Avenue,49.276144,-123.151272
AnnaLena,4.5,1809 W 1st Avenue,49.276144,-123.151272
Lumine Coffee,4.5,103- 1965 W 4th Avenue,49.276144,-123.151272
KITS Eyecare,5.0,1500 Yew Street,49.276144,-123.151272
Ilanaaq Inukshuk,4.5,1700 Beach Avenue,49.276144,-123.151272
The Cider House,4.5,1602 Yew Street,49.276144,-123.151272
CM Chicken,4.5,1629 Yew Street,49.276144,-123.151272
Kits Beach Coffee,4.5,1945 Cornwall Avenue,49.276144,-123.151272
Don at Kitsilano,4.5,2186 West 4th Avenue,49.276144,-123.151272
Pacific Poke,4.5,2151 W 4th Avenue,49.276144,-123.151272
Granville Street Bridge,4.5,2000 Granville Street,49.276144,-123.151272
Sushi Flamingo,5.0,1-1855 Burrad Street,49.268339,-123.157443
Livni Café & Bakery,5.0,2213 W Broadway,49.268339,-123.157443
NUTTEA,5.0,1958 W4th Ave,49.268339,-123.157443
Puerto Mexico,5.0,2710 West 4th Avenue,49.268339,-123.157443
BikeHike Adventures,5.0,303 2525 West 4th Avenue,49.268339,-123.157443
Gateau de Henry,5.0,2255 Burrard street,49.268339,-123.157443
Petite Bao,5.0,2825 West Broadway,49.268339,-123.157443
Folke Restaurant,4.5,2585 W Broadway,49.268339,-123.157443
The Only Cafe,4.5,2678 W 4th Avenue,49.268339,-123.157443
Casereccio Foods,4.5,2480 Vine Street,49.268339,-123.157443
Super Smash Burgers,4.5,2287 W Broadway,49.268339,-123.157443
Billy Bishop Branch 176 Royal Canadian Legion,4.5,1407 Laburnum Street,49.268339,-123.157443
Uno Gelato,4.5,2579 W Broadway,49.268339,-123.157443
Chewie's Chicken & Biscuits,4.5,2822 West 4th Avenue,49.268339,-123.157443
C&T Fried Chicken,4.5,2445 Burrard Street,49.268339,-123.157443
Le Coq Frit,4.5,1888 W Broadway,49.268339,-123.157443
Cafe Lokal,4.5,2610 W 4 Avenue,49.268339,-123.157443
O5 Tea,4.5,2208 W 4th Avenue,49.268339,-123.157443
AnnaLena,4.5,1809 W 1st Avenue,49.268339,-123.157443
Healthy Noodle House,4.5,2716 W 4th Avenue,49.268339,-123.157443
Johnny's Pops,5.0,,49.284062,-123.095097
The Garden Strathcona,5.0,868 E Hastings Street,49.284062,-123.095097
Prototype Coffee,5.0,883 East Hastings Street,49.284062,-123.095097
Sooda Korean BBQ,5.0,60 West Cordova Street,49.284062,-123.095097
Robba Da Matti,5.0,12 Powell St,49.284062,-123.095097
West Hotel & Bar,5.0,488 Carrall St,49.284062,-123.095097
Say Hello Sweets,5.0,620 Quebec Street,49.284062,-123.095097
Tekkaba,4.5,68 E Cordova Street,49.284062,-123.095097
Hoduya,4.5,86 Keefer Place,49.284062,-123.095097
Le Petit Belge,4.5,1007 Main Street,49.284062,-123.095097
Aiyaohno Cafe,4.5,425 Carrall Street,49.284062,-123.095097
VV Tapas Lounge,4.5,957 E Hastings Street,49.284062,-123.095097
The Chinese Tea Shop,4.5,101 E Pender Street,49.284062,-123.095097
Little Bangkok Thai Kitchen 2,4.5,88 W Pender Street,49.284062,-123.095097
Gastronomy Gastown,4.5,62 East Cordova Street,49.284062,-123.095097
Manpuku Bento,4.5,288 E Pender Street,49.284062,-123.095097
Is That French,4.5,45 Blood Alley Square,49.284062,-123.095097
Vegan Cave Cafe,4.5,415 Abbott Street,49.284062,-123.095097
Barbara,4.5,305 East Pender Street,49.284062,-123.095097
Kouign Café,4.5,18 East Pender Street,49.284062,-123.095097
Sushi Master,5.0,1509 W Broadway,49.261742,-123.13148
That’s It Cafe,5.0,1612 West 1st Avenue,49.261742,-123.13148
Obanhmi,5.0,102-1668 W Broadway,49.261742,-123.13148
My Forno Pizza,5.0,1630 West Broadway,49.261742,-123.13148
Mazahr Lebanese Kitchen,5.0,1488 West 11th Avenue,49.261742,-123.13148
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.261742,-123.13148
Tru Cafe,5.0,1500 West 2nd Avenue,49.261742,-123.13148
Uno Gelato,4.5,601 Stamps Landing,49.261742,-123.13148
Impostori Trattoria + Negroni Bar,4.5,3121 Granville Street,49.261742,-123.13148
Saucin Staples,4.5,1073 W Broadway,49.261742,-123.13148
VR Funtastic World,4.5,1496 Cartwright Street,49.261742,-123.13148
COFU Pressed Sushi,4.5,103 -1833 Anderson Street,49.261742,-123.13148
Deja Brew,4.5,943 W Broadway,49.261742,-123.13148
River's Sushi,5.0,678 W Broadway,49.261742,-123.13148
Granville Island Water Park,5.0,1348 Cartwright Street,49.261742,-123.13148
Bar One,4.5,1759 West Broadway,49.261742,-123.13148
Momono Tea Shop,4.5,3010 Granville St,49.261742,-123.13148
Dog Eat Corndog,4.5,,49.261742,-123.13148
Salmon n' Bannock,4.5,1128 W Broadway,49.261742,-123.13148
Kathy's Sandwich House,4.5,1505 W Broadway,49.261742,-123.13148
The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.262206,-123.109091
WA-2!,5.0,1795 Powell Street,49.262206,-123.109091
La Taqueria Food Truck,5.0,,49.262206,-123.109091
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.262206,-123.109091
Mount Pleasant Park,5.0,3161 Ontario Street,49.262206,-123.109091
Uno Gelato,4.5,601 Stamps Landing,49.262206,-123.109091
Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.262206,-123.109091
Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.262206,-123.109091
Lumiere Cafe,4.5,521 West Broadway,49.262206,-123.109091
Honolulu Coffee,4.5,97 West 2nd Avenue,49.262206,-123.109091
Rolling Cashew,4.5,401 Industrial Avenue,49.262206,-123.109091
Hot Cha Cafe,4.5,3306 Cambie Street,49.262206,-123.109091
Cilantro Indian Cuisine,4.5,189 W Broadway,49.262206,-123.109091
Superbaba,4.5,2419 Main St,49.262206,-123.109091
The Mighty Oak,4.5,198 W 18th Avenue,49.262206,-123.109091
Suyo Modern Peruvian,4.5,3475 Main Street,49.262206,-123.109091
River's Sushi,5.0,678 W Broadway,49.262206,-123.109091
Frostbites Shave Ice,5.0,,49.262206,-123.109091
Farm Ventures,5.0,713 Sullivan Road,49.262206,-123.109091
The Real Patty Co,5.0,,49.262206,-123.109091
Okeya Kyujiro,5.0,1038 Mainland Street,49.27023,-123.10651
Johnny's Pops,5.0,,49.27023,-123.10651
WA-2!,5.0,1795 Powell Street,49.27023,-123.10651
Cookies of Course,5.0,,49.27023,-123.10651
Rainbow Park,5.0,872 Richards Street,49.27023,-123.10651
La Taqueria Food Truck,5.0,,49.27023,-123.10651
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.27023,-123.10651
Say Hello Sweets,5.0,620 Quebec Street,49.27023,-123.10651
7 Days Coffee,5.0,920 Beatty Street,49.27023,-123.10651
Smithe Salad,4.5,191 Smithe Street,49.27023,-123.10651
Uno Gelato,4.5,601 Stamps Landing,49.27023,-123.10651
Passione Gelato,4.5,55 Smithe Street,49.27023,-123.10651
Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.27023,-123.10651
Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.27023,-123.10651
Le Parfait,4.5,812 Homer Street,49.27023,-123.10651
Ignite Pizzeria,4.5,987 Mainland Street,49.27023,-123.10651
Sweet Spot,4.5,1178 Marinaside Crescent,49.27023,-123.10651
Le Petit Belge,4.5,1007 Main Street,49.27023,-123.10651
Lumiere Cafe,4.5,521 West Broadway,49.27023,-123.10651
Honolulu Coffee,4.5,97 West 2nd Avenue,49.27023,-123.10651
The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.262062,-123.104656
WA-2!,5.0,1795 Powell Street,49.262062,-123.104656
Cookies of Course,5.0,,49.262062,-123.104656
La Taqueria Food Truck,5.0,,49.262062,-123.104656
Mount Pleasant Park,5.0,3161 Ontario Street,49.262062,-123.104656
