,names,ratings,locations,latitude,longitude
910,Rainbow Park,5.0,872 Richards Street,49.277844,-123.120942
911,George Wainborn Park,5.0,450 Beach Crescent,49.277844,-123.120942
912,Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.277844,-123.120942
913,Keto Caveman Davie,5.0,1230 Davie Street,49.277844,-123.120942
914,7 Days Coffee,5.0,920 Beatty Street,49.277844,-123.120942
915,Smithe Salad,4.5,191 Smithe Street,49.277844,-123.120942
916,Incognito Coffee,4.5,843 Seymour Street,49.277844,-123.120942
917,Uno Gelato,4.5,601 Stamps Landing,49.277844,-123.120942
918,Passione Gelato,4.5,55 Smithe Street,49.277844,-123.120942
919,VAN CHA,4.5,433 Hornby Street,49.277844,-123.120942
920,The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.265089,-123.119425
921,WA-2!,5.0,1795 Powell Street,49.265089,-123.119425
922,George Wainborn Park,5.0,450 Beach Crescent,49.265089,-123.119425
923,La Taqueria Food Truck,5.0,,49.265089,-123.119425
924,Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.265089,-123.119425
925,Mount Pleasant Park,5.0,3161 Ontario Street,49.265089,-123.119425
926,Uno Gelato,4.5,601 Stamps Landing,49.265089,-123.119425
927,Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.265089,-123.119425
928,Sweet Spot,4.5,1178 Marinaside Crescent,49.265089,-123.119425
929,Lumiere Cafe,4.5,521 West Broadway,49.265089,-123.119425
930,Obanhmi,4.5,1239 Pacific Boulevard,49.265089,-123.119425
931,Honolulu Coffee,4.5,97 West 2nd Avenue,49.265089,-123.119425
932,Rolling Cashew,4.5,401 Industrial Avenue,49.265089,-123.119425
933,Saucin Staples,4.5,1073 W Broadway,49.265089,-123.119425
934,Cilantro Indian Cuisine,4.5,189 W Broadway,49.265089,-123.119425
935,Deja Brew,4.5,943 W Broadway,49.265089,-123.119425
936,David Lam Park,4.5,1300 Pacific Blvd,49.265089,-123.119425
937,River's Sushi,5.0,678 W Broadway,49.265089,-123.119425
938,Frostbites Shave Ice,5.0,,49.265089,-123.119425
939,Farm Ventures,5.0,713 Sullivan Road,49.265089,-123.119425
940,Grab N Go,5.0,1207 Hamilton Street,49.28026,-123.135244
941,Parker Rooftop,5.0,1379 Howe Street,49.28026,-123.135244
942,93 Coffee,5.0,1789 Comox Street,49.28026,-123.135244
943,Sake Dining Hashigo,5.0,1265 Granville St,49.28026,-123.135244
944,Cardero Cafe,5.0,1105 Davie St,49.28026,-123.135244
945,Arike Restaurant,5.0,1725 Davie St,49.28026,-123.135244
946,Ssong's Hotdog,5.0,795 Jervis Street,49.28026,-123.135244
947,inBtwn Cafe,5.0,1625 Hornby Street,49.28026,-123.135244
948,Manoush'eh,5.0,620 Davie Street,49.28026,-123.135244
949,Number E Food,5.0,1308 Burrard Street,49.28026,-123.135244
950,George Wainborn Park,5.0,450 Beach Crescent,49.28026,-123.135244
951,Big Bang Sushi,5.0,1103 Denman St,49.28026,-123.135244
952,Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.28026,-123.135244
953,Keto Caveman Davie,5.0,1230 Davie Street,49.28026,-123.135244
954,English Bay Beach Park,4.5,1700 Beach Avenue,49.28026,-123.135244
955,Starbucks,4.5,1088 Burrard Street,49.28026,-123.135244
956,Tom Sushi,4.5,1175 Davie St,49.28026,-123.135244
957,Long Table Distillery,4.5,1451 Hornby Street,49.28026,-123.135244
958,Noah's Cafe,4.5,1096 Denman Street,49.28026,-123.135244
959,Davie Village Bakery,4.5,1216 Davie Street,49.28026,-123.135244
960,93 Coffee,5.0,1789 Comox Street,49.291909,-123.140713
961,Arike Restaurant,5.0,1725 Davie St,49.291909,-123.140713
962,Vancouver Seawall,5.0,,49.291909,-123.140713
963,Ssong's Hotdog,5.0,795 Jervis Street,49.291909,-123.140713
964,Stanley Park,5.0,1166 Stanley Park Drive,49.291909,-123.140713
965,Big Bang Sushi,5.0,1103 Denman St,49.291909,-123.140713
966,English Bay Beach Park,4.5,1700 Beach Avenue,49.291909,-123.140713
967,Yasma,4.5,550 Denman Street,49.291909,-123.140713
968,Noah's Cafe,4.5,1096 Denman Street,49.291909,-123.140713
969,Movies in the Park,4.5,Stanley Park Dr,49.291909,-123.140713
970,The Red Accordion,4.5,1616 Alberni Street,49.291909,-123.140713
971,Pho 37,4.5,1578 Robson Street,49.291909,-123.140713
972,theKhaykery,4.5,1610 Robson Street,49.291909,-123.140713
973,Al-Hadbah Donair,4.5,1610 Robson St,49.291909,-123.140713
974,Good Dogs Plant Foods,4.5,1331 Robson Street,49.291909,-123.140713
975,Ofra’s Kitchen,4.5,1088 Denman Street,49.291909,-123.140713
976,Frying Pan,4.5,1101 Denman Street,49.291909,-123.140713
977,Soondae Town,4.5,202-1610 Robson Street,49.291909,-123.140713
978,Avo House,4.5,1509 Robson Street,49.291909,-123.140713
979,Nine Dumplings,4.5,204-1610 Robson Street,49.291909,-123.140713
980,93 Coffee,5.0,1789 Comox Street,49.293257,-123.138563
981,Arike Restaurant,5.0,1725 Davie St,49.293257,-123.138563
982,Vancouver Seawall,5.0,,49.293257,-123.138563
983,Ssong's Hotdog,5.0,795 Jervis Street,49.293257,-123.138563
984,Stanley Park,5.0,1166 Stanley Park Drive,49.293257,-123.138563
985,Big Bang Sushi,5.0,1103 Denman St,49.293257,-123.138563
986,English Bay Beach Park,4.5,1700 Beach Avenue,49.293257,-123.138563
987,Yasma,4.5,550 Denman Street,49.293257,-123.138563
988,Noah's Cafe,4.5,1096 Denman Street,49.293257,-123.138563
989,Movies in the Park,4.5,Stanley Park Dr,49.293257,-123.138563
990,The Red Accordion,4.5,1616 Alberni Street,49.293257,-123.138563
991,Pho 37,4.5,1578 Robson Street,49.293257,-123.138563
992,theKhaykery,4.5,1610 Robson Street,49.293257,-123.138563
993,Al-Hadbah Donair,4.5,1610 Robson St,49.293257,-123.138563
994,Good Dogs Plant Foods,4.5,1331 Robson Street,49.293257,-123.138563
995,Ofra’s Kitchen,4.5,1088 Denman Street,49.293257,-123.138563
996,Frying Pan,4.5,1101 Denman Street,49.293257,-123.138563
997,Soondae Town,4.5,202-1610 Robson Street,49.293257,-123.138563
998,Avo House,4.5,1509 Robson Street,49.293257,-123.138563
999,Hello Nori ,4.5,1165 Robson Street,49.293257,-123.138563
1000,93 Coffee,5.0,1789 Comox Street,49.288011,-123.132006
1001,Cardero Cafe,5.0,1105 Davie St,49.288011,-123.132006
1002,Arike Restaurant,5.0,1725 Davie St,49.288011,-123.132006
1003,Vancouver Seawall,5.0,,49.288011,-123.132006
1004,Ssong's Hotdog,5.0,795 Jervis Street,49.288011,-123.132006
1005,Rainbow Park,5.0,872 Richards Street,49.288011,-123.132006
1006,Big Bang Sushi,5.0,1103 Denman St,49.288011,-123.132006
1007,Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.288011,-123.132006
1008,Keto Caveman Davie,5.0,1230 Davie Street,49.288011,-123.132006
1009,Incognito Coffee,4.5,843 Seymour Street,49.288011,-123.132006
1010,English Bay Beach Park,4.5,1700 Beach Avenue,49.288011,-123.132006
1011,Starbucks,4.5,1088 Burrard Street,49.288011,-123.132006
1012,Yasma,4.5,550 Denman Street,49.288011,-123.132006
1013,Tom Sushi,4.5,1175 Davie St,49.288011,-123.132006
1014,Noah's Cafe,4.5,1096 Denman Street,49.288011,-123.132006
1015,Davie Village Bakery,4.5,1216 Davie Street,49.288011,-123.132006
1016,Amante Bakery,4.5,590 Robson St,49.288011,-123.132006
1017,The Red Accordion,4.5,1616 Alberni Street,49.288011,-123.132006
1018,Pho 37,4.5,1578 Robson Street,49.288011,-123.132006
1019,Trish Juice,4.5,981 Hornby Street,49.288011,-123.132006
1020,Marine Building,5.0,355 Burrard St,49.28117,-123.104419
1021,Johnny's Pops,5.0,,49.28117,-123.104419
1022,The Magnet,5.0,309 W Pender Street,49.28117,-123.104419
1023,Sooda Korean BBQ,5.0,60 West Cordova Street,49.28117,-123.104419
1024,Robba Da Matti,5.0,12 Powell St,49.28117,-123.104419
1025,Social Crust,5.0,335 W Pender St,49.28117,-123.104419
1026,Jack Poole Plaza,5.0,1055 Canada Place,49.28117,-123.104419
1027,West Hotel & Bar,5.0,488 Carrall St,49.28117,-123.104419
1028,Say Hello Sweets,5.0,620 Quebec Street,49.28117,-123.104419
1029,7 Days Coffee,5.0,920 Beatty Street,49.28117,-123.104419
1030,Smithe Salad,4.5,191 Smithe Street,49.28117,-123.104419
1031,Passione Gelato,4.5,55 Smithe Street,49.28117,-123.104419
1032,VAN CHA,4.5,433 Hornby Street,49.28117,-123.104419
1033,Le Parfait,4.5,812 Homer Street,49.28117,-123.104419
1034,Tekkaba,4.5,68 E Cordova Street,49.28117,-123.104419
1035,Hoduya,4.5,86 Keefer Place,49.28117,-123.104419
1036,Le Petit Belge,4.5,1007 Main Street,49.28117,-123.104419
1037,Aiyaohno Cafe,4.5,425 Carrall Street,49.28117,-123.104419
1038,Curry Hut Indian Bistro,4.5,445 Howe Street,49.28117,-123.104419
1039,The Chinese Tea Shop,4.5,101 E Pender Street,49.28117,-123.104419
1040,Grab N Go,5.0,1207 Hamilton Street,49.283227,-123.120523
1041,Parker Rooftop,5.0,1379 Howe Street,49.283227,-123.120523
1042,Marine Building,5.0,355 Burrard St,49.283227,-123.120523
1043,Okeya Kyujiro,5.0,1038 Mainland Street,49.283227,-123.120523
1044,Sake Dining Hashigo,5.0,1265 Granville St,49.283227,-123.120523
1045,Cardero Cafe,5.0,1105 Davie St,49.283227,-123.120523
1046,Ssong's Hotdog,5.0,795 Jervis Street,49.283227,-123.120523
1047,inBtwn Cafe,5.0,1625 Hornby Street,49.283227,-123.120523
1048,Manoush'eh,5.0,620 Davie Street,49.283227,-123.120523
1049,The Magnet,5.0,309 W Pender Street,49.283227,-123.120523
1050,Number E Food,5.0,1308 Burrard Street,49.283227,-123.120523
1051,Social Crust,5.0,335 W Pender St,49.283227,-123.120523
1052,Rainbow Park,5.0,872 Richards Street,49.283227,-123.120523
1053,Jack Poole Plaza,5.0,1055 Canada Place,49.283227,-123.120523
1054,Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.283227,-123.120523
1055,Keto Caveman Davie,5.0,1230 Davie Street,49.283227,-123.120523
1056,7 Days Coffee,5.0,920 Beatty Street,49.283227,-123.120523
1057,Smithe Salad,4.5,191 Smithe Street,49.283227,-123.120523
1058,Incognito Coffee,4.5,843 Seymour Street,49.283227,-123.120523
1059,Passione Gelato,4.5,55 Smithe Street,49.283227,-123.120523
1060,Beaver Lake,5.0,Stanley Park,49.299292,-123.130281
1061,Vancouver Seawall,5.0,,49.299292,-123.130281
1062,Stanley Park,5.0,1166 Stanley Park Drive,49.299292,-123.130281
1063,Yasma,4.5,550 Denman Street,49.299292,-123.130281
1064,Movies in the Park,4.5,Stanley Park Dr,49.299292,-123.130281
1065,The Red Accordion,4.5,1616 Alberni Street,49.299292,-123.130281
1066,Tavola,4.5,1829 Robson Street,49.299292,-123.130281
1067,Lost Lagoon,4.5,Lagoon Dr,49.299292,-123.130281
1068,Kingyo,4.5,871 Denman Street,49.299292,-123.130281
1069,Nine O'Clock Gun,4.5,Stanley Park,49.299292,-123.130281
1070,Daigyo,4.5,2-1725 Robson Street,49.299292,-123.130281
1071,Chung Chun,4.5,1795 Robson Street,49.299292,-123.130281
1072,Maruhachi Ra-men,4.5,780 Bidwell Street,49.299292,-123.130281
1073,Breaking Bean,4.5,551 Cardero Street,49.299292,-123.130281
1074,Totem Poles,4.5,2360-2582 Stanley Park Drive,49.299292,-123.130281
1075,Donair Town Robson,4.5,1793 Robson Street,49.299292,-123.130281
1076,Nero Waffles,4.5,1703 Robson Street,49.299292,-123.130281
1077,Tetsu Sushi Bar,4.5,775 Denman Street,49.299292,-123.130281
1078,Vancouver Aquarium,4.5,845 Avison Way,49.299292,-123.130281
1079,Nook,4.5,781 Denman Street,49.299292,-123.130281
1080,93 Coffee,5.0,1789 Comox Street,49.29534,-123.150433
1081,Arike Restaurant,5.0,1725 Davie St,49.29534,-123.150433
1082,Big Bang Sushi,5.0,1103 Denman St,49.29534,-123.150433
1083,Noah's Cafe,4.5,1096 Denman Street,49.29534,-123.150433
1084,Ofra’s Kitchen,4.5,1088 Denman Street,49.29534,-123.150433
1085,Frying Pan,4.5,1101 Denman Street,49.29534,-123.150433
1086,Third Beach,4.5,Ferguson Point,49.29534,-123.150433
1087,Beeryani Indian Bistro & Bar,4.5,1184 Denman Street,49.29534,-123.150433
1088,Lost Lagoon,4.5,Lagoon Dr,49.29534,-123.150433
1089,Morton Park,4.5,1800 Morton Avenue,49.29534,-123.150433
1090,La Catrina Tacos,4.5,1187 Denman Street,49.29534,-123.150433
1091,Peaked Pies,4.5,975 Denman Street,49.29534,-123.150433
1092,Kingyo,4.5,871 Denman Street,49.29534,-123.150433
1093,Vonns,4.5,1184 Denman Street,49.29534,-123.150433
1094,Café Portrait,4.5,1120 Denman Street,49.29534,-123.150433
1095,Pho 555 Vietnamese Restaurant,4.5,1114 Denman Street,49.29534,-123.150433
1096,The Cake Club Vancouver,5.0,1168 Denman Street,49.29534,-123.150433
1097,Babylon Restaurant and Bar,4.5,1162 Denman Street,49.29534,-123.150433
1098,Lovers Walk Trail,5.0,Lovers Walk,49.29534,-123.150433
1099,The Frying Pan,4.5,1101 Denman Street,49.29534,-123.150433
1100,93 Coffee,5.0,1789 Comox Street,49.294318,-123.148808
1101,Arike Restaurant,5.0,1725 Davie St,49.294318,-123.148808
1102,Big Bang Sushi,5.0,1103 Denman St,49.294318,-123.148808
1103,Noah's Cafe,4.5,1096 Denman Street,49.294318,-123.148808
1104,Movies in the Park,4.5,Stanley Park Dr,49.294318,-123.148808
1105,Ofra’s Kitchen,4.5,1088 Denman Street,49.294318,-123.148808
1106,Frying Pan,4.5,1101 Denman Street,49.294318,-123.148808
1107,Tavola,4.5,1829 Robson Street,49.294318,-123.148808
1108,Beeryani Indian Bistro & Bar,4.5,1184 Denman Street,49.294318,-123.148808
1109,Lost Lagoon,4.5,Lagoon Dr,49.294318,-123.148808
1110,Morton Park,4.5,1800 Morton Avenue,49.294318,-123.148808
1111,La Catrina Tacos,4.5,1187 Denman Street,49.294318,-123.148808
1112,Peaked Pies,4.5,975 Denman Street,49.294318,-123.148808
1113,Kingyo,4.5,871 Denman Street,49.294318,-123.148808
1114,Vonns,4.5,1184 Denman Street,49.294318,-123.148808
1115,Café Portrait,4.5,1120 Denman Street,49.294318,-123.148808
1116,Chung Chun,4.5,1795 Robson Street,49.294318,-123.148808
1117,Donair Town Robson,4.5,1793 Robson Street,49.294318,-123.148808
1118,Pho 555 Vietnamese Restaurant,4.5,1114 Denman Street,49.294318,-123.148808
1119,Tetsu Sushi Bar,4.5,775 Denman Street,49.294318,-123.148808
1120,Stanley Park,5.0,1166 Stanley Park Drive,49.298657,-123.121176
1121,Yasma,4.5,550 Denman Street,49.298657,-123.121176
1122,The Red Accordion,4.5,1616 Alberni Street,49.298657,-123.121176
1123,Digital Orca By Douglas Coupland,4.5,1055 Canada Place,49.298657,-123.121176
1124,Nine O'Clock Gun,4.5,Stanley Park,49.298657,-123.121176
1125,Daigyo,4.5,2-1725 Robson Street,49.298657,-123.121176
1126,Maruhachi Ra-men,4.5,780 Bidwell Street,49.298657,-123.121176
1127,Breaking Bean,4.5,551 Cardero Street,49.298657,-123.121176
1128,Totem Poles,4.5,2360-2582 Stanley Park Drive,49.298657,-123.121176
1129,Guu with Garlic,4.5,1698 Robson Street,49.298657,-123.121176
1130,Nero Waffles,4.5,1703 Robson Street,49.298657,-123.121176
1131,Vancouver Aquarium,4.5,845 Avison Way,49.298657,-123.121176
1132,Harry Jerome Monument,4.5,1978 Stanley Park Drive,49.298657,-123.121176
1133,Sushi Bar Maumi,4.0,1668 Robson Street ,49.298657,-123.121176
1134,Unni Pastries,4.0,1773 Robson Street,49.298657,-123.121176
1135,Hokkaido Ramen Santouka,4.0,1690 Robson Street,49.298657,-123.121176
1136,Tonkotsu Ramen Tsukiya,4.0,740 Denman Street,49.298657,-123.121176
1137,Take Five Cafe,4.0,683 Nicola Street,49.298657,-123.121176
1138,Kitanoya Guu Garlic,4.0,1698 Robson Street,49.298657,-123.121176
1139,Lumberman's Arch,4.0,3301 Stanley Park Dr,49.298657,-123.121176
1140,The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.259183,-123.120126
1141,WA-2!,5.0,1795 Powell Street,49.259183,-123.120126
1142,La Taqueria Food Truck,5.0,,49.259183,-123.120126
1143,Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.259183,-123.120126
1144,Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.259183,-123.120126
1145,Lumiere Cafe,4.5,521 West Broadway,49.259183,-123.120126
1146,Rolling Cashew,4.5,401 Industrial Avenue,49.259183,-123.120126
1147,Hot Cha Cafe,4.5,3306 Cambie Street,49.259183,-123.120126
1148,Saucin Staples,4.5,1073 W Broadway,49.259183,-123.120126
1149,Cilantro Indian Cuisine,4.5,189 W Broadway,49.259183,-123.120126
1150,Johnny’s On Oak,4.5,3838 Oak Street,49.259183,-123.120126
1151,Deja Brew,4.5,943 W Broadway,49.259183,-123.120126
1152,The Mighty Oak,4.5,198 W 18th Avenue,49.259183,-123.120126
1153,River's Sushi,5.0,678 W Broadway,49.259183,-123.120126
1154,Farm Ventures,5.0,713 Sullivan Road,49.259183,-123.120126
1155,The Real Patty Co,5.0,,49.259183,-123.120126
1156,City of Vancouver,4.5,453 West 12th Avenue,49.259183,-123.120126
1157,Whistler Eco Tours,5.0,4308 Main Street,49.259183,-123.120126
1158,On the Grind - Pedalling Epic Coffee,5.0,,49.259183,-123.120126
1159,Indian Roti Kitchen,4.5,2961 Cambie Street,49.259183,-123.120126
1160,The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.263837,-123.105173
1161,WA-2!,5.0,1795 Powell Street,49.263837,-123.105173
1162,Cookies of Course,5.0,,49.263837,-123.105173
1163,La Taqueria Food Truck,5.0,,49.263837,-123.105173
1164,Mount Pleasant Park,5.0,3161 Ontario Street,49.263837,-123.105173
1165,Uno Gelato,4.5,601 Stamps Landing,49.263837,-123.105173
1166,Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.263837,-123.105173
1167,Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.263837,-123.105173
1168,Lumiere Cafe,4.5,521 West Broadway,49.263837,-123.105173
1169,Honolulu Coffee,4.5,97 West 2nd Avenue,49.263837,-123.105173
1170,Rolling Cashew,4.5,401 Industrial Avenue,49.263837,-123.105173
1171,Hot Cha Cafe,4.5,3306 Cambie Street,49.263837,-123.105173
1172,Cilantro Indian Cuisine,4.5,189 W Broadway,49.263837,-123.105173
1173,Superbaba,4.5,2419 Main St,49.263837,-123.105173
1174,Frostbites Shave Ice,5.0,,49.263837,-123.105173
1175,Farm Ventures,5.0,713 Sullivan Road,49.263837,-123.105173
1176,The Real Patty Co,5.0,,49.263837,-123.105173
1177,The Watson,5.0,3080 Main Street,49.263837,-123.105173
1178,City of Vancouver,4.5,453 West 12th Avenue,49.263837,-123.105173
1179,Whistler Eco Tours,5.0,4308 Main Street,49.263837,-123.105173
1180,Sushi Master,5.0,1509 W Broadway,49.270721,-123.146175
1181,Sushi Flamingo,5.0,1-1855 Burrad Street,49.270721,-123.146175
1182,That’s It Cafe,5.0,1612 West 1st Avenue,49.270721,-123.146175
1183,Obanhmi,5.0,102-1668 W Broadway,49.270721,-123.146175
1184,Livni Café & Bakery,5.0,2213 W Broadway,49.270721,-123.146175
1185,NUTTEA,5.0,1958 W4th Ave,49.270721,-123.146175
1186,My Forno Pizza,5.0,1630 West Broadway,49.270721,-123.146175
1187,inBtwn Cafe,5.0,1625 Hornby Street,49.270721,-123.146175
1188,Gateau de Henry,5.0,2255 Burrard street,49.270721,-123.146175
1189,Tru Cafe,5.0,1500 West 2nd Avenue,49.270721,-123.146175
1190,Long Table Distillery,4.5,1451 Hornby Street,49.270721,-123.146175
1191,Casereccio Foods,4.5,2480 Vine Street,49.270721,-123.146175
1192,VR Funtastic World,4.5,1496 Cartwright Street,49.270721,-123.146175
1193,Super Smash Burgers,4.5,2287 W Broadway,49.270721,-123.146175
1194,Beach Ave Bar And Grill,4.5,1 -1012 Beach Avenue,49.270721,-123.146175
1195,Billy Bishop Branch 176 Royal Canadian Legion,4.5,1407 Laburnum Street,49.270721,-123.146175
1196,COFU Pressed Sushi,4.5,103 -1833 Anderson Street,49.270721,-123.146175
1197,La Bise Bakery,4.5,1689 Johnston Street,49.270721,-123.146175
1198,C&T Fried Chicken,4.5,2445 Burrard Street,49.270721,-123.146175
1199,Le Coq Frit,4.5,1888 W Broadway,49.270721,-123.146175
1200,Sushi Master,5.0,1509 W Broadway,49.265605,-123.152566
1201,Sushi Flamingo,5.0,1-1855 Burrad Street,49.265605,-123.152566
1202,That’s It Cafe,5.0,1612 West 1st Avenue,49.265605,-123.152566
1203,Obanhmi,5.0,102-1668 W Broadway,49.265605,-123.152566
1204,Livni Café & Bakery,5.0,2213 W Broadway,49.265605,-123.152566
1205,NUTTEA,5.0,1958 W4th Ave,49.265605,-123.152566
1206,BikeHike Adventures,5.0,303 2525 West 4th Avenue,49.265605,-123.152566
1207,My Forno Pizza,5.0,1630 West Broadway,49.265605,-123.152566
1208,Gateau de Henry,5.0,2255 Burrard street,49.265605,-123.152566
1209,Folke Restaurant,4.5,2585 W Broadway,49.265605,-123.152566
1210,Impostori Trattoria + Negroni Bar,4.5,3121 Granville Street,49.265605,-123.152566
1211,The Only Cafe,4.5,2678 W 4th Avenue,49.265605,-123.152566
1212,Casereccio Foods,4.5,2480 Vine Street,49.265605,-123.152566
1213,Super Smash Burgers,4.5,2287 W Broadway,49.265605,-123.152566
1214,Billy Bishop Branch 176 Royal Canadian Legion,4.5,1407 Laburnum Street,49.265605,-123.152566
1215,COFU Pressed Sushi,4.5,103 -1833 Anderson Street,49.265605,-123.152566
1216,Uno Gelato,4.5,2579 W Broadway,49.265605,-123.152566
1217,C&T Fried Chicken,4.5,2445 Burrard Street,49.265605,-123.152566
1218,Le Coq Frit,4.5,1888 W Broadway,49.265605,-123.152566
1219,Cafe Lokal,4.5,2610 W 4 Avenue,49.265605,-123.152566
1220,Sushi Flamingo,5.0,1-1855 Burrad Street,49.267222,-123.153157
1221,That’s It Cafe,5.0,1612 West 1st Avenue,49.267222,-123.153157
1222,Obanhmi,5.0,102-1668 W Broadway,49.267222,-123.153157
1223,Livni Café & Bakery,5.0,2213 W Broadway,49.267222,-123.153157
1224,NUTTEA,5.0,1958 W4th Ave,49.267222,-123.153157
1225,Puerto Mexico,5.0,2710 West 4th Avenue,49.267222,-123.153157
1226,BikeHike Adventures,5.0,303 2525 West 4th Avenue,49.267222,-123.153157
1227,My Forno Pizza,5.0,1630 West Broadway,49.267222,-123.153157
1228,Gateau de Henry,5.0,2255 Burrard street,49.267222,-123.153157
1229,Folke Restaurant,4.5,2585 W Broadway,49.267222,-123.153157
1230,The Only Cafe,4.5,2678 W 4th Avenue,49.267222,-123.153157
1231,Casereccio Foods,4.5,2480 Vine Street,49.267222,-123.153157
1232,Super Smash Burgers,4.5,2287 W Broadway,49.267222,-123.153157
1233,Billy Bishop Branch 176 Royal Canadian Legion,4.5,1407 Laburnum Street,49.267222,-123.153157
1234,Uno Gelato,4.5,2579 W Broadway,49.267222,-123.153157
1235,C&T Fried Chicken,4.5,2445 Burrard Street,49.267222,-123.153157
1236,Le Coq Frit,4.5,1888 W Broadway,49.267222,-123.153157
1237,Cafe Lokal,4.5,2610 W 4 Avenue,49.267222,-123.153157
1238,O5 Tea,4.5,2208 W 4th Avenue,49.267222,-123.153157
1239,AnnaLena,4.5,1809 W 1st Avenue,49.267222,-123.153157
1240,Sushi Master,5.0,1509 W Broadway,49.262255,-123.126217
1241,The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.262255,-123.126217
1242,WA-2!,5.0,1795 Powell Street,49.262255,-123.126217
1243,Mazahr Lebanese Kitchen,5.0,1488 West 11th Avenue,49.262255,-123.126217
1244,La Taqueria Food Truck,5.0,,49.262255,-123.126217
1245,Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.262255,-123.126217
1246,Tru Cafe,5.0,1500 West 2nd Avenue,49.262255,-123.126217
1247,Uno Gelato,4.5,601 Stamps Landing,49.262255,-123.126217
1248,Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.262255,-123.126217
1249,Impostori Trattoria + Negroni Bar,4.5,3121 Granville Street,49.262255,-123.126217
1250,Lumiere Cafe,4.5,521 West Broadway,49.262255,-123.126217
1251,Rolling Cashew,4.5,401 Industrial Avenue,49.262255,-123.126217
1252,Hot Cha Cafe,4.5,3306 Cambie Street,49.262255,-123.126217
1253,Saucin Staples,4.5,1073 W Broadway,49.262255,-123.126217
1254,VR Funtastic World,4.5,1496 Cartwright Street,49.262255,-123.126217
1255,COFU Pressed Sushi,4.5,103 -1833 Anderson Street,49.262255,-123.126217
1256,Deja Brew,4.5,943 W Broadway,49.262255,-123.126217
1257,River's Sushi,5.0,678 W Broadway,49.262255,-123.126217
1258,Farm Ventures,5.0,713 Sullivan Road,49.262255,-123.126217
1259,Granville Island Water Park,5.0,1348 Cartwright Street,49.262255,-123.126217
1260,Obanhmi,5.0,102-1668 W Broadway,49.257654,-123.153212
1261,Livni Café & Bakery,5.0,2213 W Broadway,49.257654,-123.153212
1262,My Forno Pizza,5.0,1630 West Broadway,49.257654,-123.153212
1263,Gateau de Henry,5.0,2255 Burrard street,49.257654,-123.153212
1264,Folke Restaurant,4.5,2585 W Broadway,49.257654,-123.153212
1265,Casereccio Foods,4.5,2480 Vine Street,49.257654,-123.153212
1266,Super Smash Burgers,4.5,2287 W Broadway,49.257654,-123.153212
1267,Uno Gelato,4.5,2579 W Broadway,49.257654,-123.153212
1268,C&T Fried Chicken,4.5,2445 Burrard Street,49.257654,-123.153212
1269,Le Coq Frit,4.5,1888 W Broadway,49.257654,-123.153212
1270,Bar One,4.5,1759 West Broadway,49.257654,-123.153212
1271,Evelyn's Coffee Shop,4.5,2176 W Broadway,49.257654,-123.153212
1272,Unchai Thai Restaurant,4.5,2351 Burrard Street,49.257654,-123.153212
1273,Yagoto Sushi Dining,4.5,2180 W Broadway,49.257654,-123.153212
1274,Sweet Barrel Creamery and Coffee Roasters,4.5,2729 Arbutus Street,49.257654,-123.153212
1275,Grapes & Soda,4.5,1541 W 6th Avenue,49.257654,-123.153212
1276,Delhi 6 Indian Bistro,4.5,1766 W 7th Avenue,49.257654,-123.153212
1277,Maple Grill Restaurant & Catering,4.5,1967 W Broadway,49.257654,-123.153212
1278,Glitch Retro Arcade Bar,4.5,2287 West Broadway,49.257654,-123.153212
1279,Coquette,4.0,2685 Arbutus Street,49.257654,-123.153212
1280,Sushi Master,5.0,1509 W Broadway,49.25919,-123.148268
1281,Obanhmi,5.0,102-1668 W Broadway,49.25919,-123.148268
1282,Livni Café & Bakery,5.0,2213 W Broadway,49.25919,-123.148268
1283,NUTTEA,5.0,1958 W4th Ave,49.25919,-123.148268
1284,My Forno Pizza,5.0,1630 West Broadway,49.25919,-123.148268
1285,Gateau de Henry,5.0,2255 Burrard street,49.25919,-123.148268
1286,Mazahr Lebanese Kitchen,5.0,1488 West 11th Avenue,49.25919,-123.148268
1287,Impostori Trattoria + Negroni Bar,4.5,3121 Granville Street,49.25919,-123.148268
1288,Casereccio Foods,4.5,2480 Vine Street,49.25919,-123.148268
1289,Super Smash Burgers,4.5,2287 W Broadway,49.25919,-123.148268
1290,C&T Fried Chicken,4.5,2445 Burrard Street,49.25919,-123.148268
